speaker,file,label,release,voi_onset,consonant
s01,001-cica,ts,1.64492063492064,1.7430612244898,ts
s01,002-bari,b,0.455668934240363,0.351904761904762,b
s01,004-gati,g,0.818072562358277,0.688934240362812,ɡ
s01,011-kati,k,0.753945578231293,0.785396825396825,k
s01,014-pata,p,0.704512471655329,0.711972789115646,p
s01,020-tapa,t,0.824716553287982,0.832721088435374,t
s01,022-data,d,0.855079365079365,0.767414965986395,d
s01,026-xixa,dz,0.780113378684807,0.675804988662132,dz
s01,027-5aji,tS,0.842925170068027,0.917369614512472,tʃ
s01,029-gjaku,J,0.960090702947846,0.862131519274376,d̻ʒ̻
s01,030-qava,c,0.927551020408163,1.01764172335601,t̻ʃ̻
s01,037-xhaja,dZ,0.764263038548753,0.660385487528345,dʒ
s01,042-cica,ts,3.90904761904762,3.99605442176871,ts
s01,043-bari,b,0.806621315192744,0.722018140589569,b
s01,045-gati,g,1.01124716553288,0.899977324263039,ɡ
s01,052-kati,k,0.772312925170068,0.80734693877551,k
s01,055-pata,p,0.822879818594104,0.837868480725624,p
s01,061-tapa,t,0.944331065759637,0.952947845804989,t
s01,063-data,d,0.95530612244898,0.830839002267574,d
s01,068-xixa,dz,0.722630385487528,0.621950113378685,dz
s01,069-5aji,tS,0.636439909297052,0.697596371882086,tʃ
s01,071-gjaku,J,0.860340136054422,0.77562358276644,d̻ʒ̻
s01,072-qava,c,0.714852607709751,0.78031746031746,t̻ʃ̻
s01,079-xhaja,dZ,0.942267573696145,0.837596371882086,dʒ
s01,083-cica,ts,2.33424036281179,2.42308390022676,ts
s01,084-bari,b,0.708390022675737,0.601428571428571,b
s01,086-gati,g,0.966984126984127,0.886439909297052,ɡ
s01,093-kati,k,0.907981859410431,0.946077097505669,k
s01,096-pata,p,1.09793650793651,1.10417233560091,p
s01,102-tapa,t,0.950952380952381,0.964013605442177,t
s01,104-data,d,1.16725623582766,1.04916099773243,d
s01,109-xixa,dz,0.864807256235828,0.929183673469388,dz
s01,110-5aji,tS,0.86891156462585,0.946757369614513,tʃ
s01,112-gjaku,J,0.88156462585034,0.758049886621315,d̻ʒ̻
s01,113-qava,c,0.926303854875283,1.0169387755102,t̻ʃ̻
s01,120-xhaja,dZ,0.768072562358277,0.652426303854875,dʒ
s02,001-5aji,tS,2.11013605442177,2.21827664399093,tʃ
s02,003-xhaja,dZ,0.750748299319728,0.667664399092971,dʒ
s02,008-data,d,0.673174603174603,0.552993197278912,d
s02,011-tapa,t,0.752131519274376,0.766031746031746,t
s02,017-cica,ts,0.575895691609977,0.658208616780045,ts
s02,020-kati,k,0.69578231292517,0.750657596371882,k
s02,023-gjaku,J,0.711678004535147,0.609591836734694,d̻ʒ̻
s02,024-qava,c,0.577845804988662,0.704240362811791,t̻ʃ̻
s02,031-gati,g,0.653356009070295,0.5481179138322,ɡ
s02,034-pata,p,0.723650793650794,0.734716553287982,p
s02,035-xixa,dz,0.685555555555556,0.584716553287982,dz
s02,039-bari,b,0.748027210884354,0.633446712018141,b
s02,042-5aji,tS,2.24369614512472,2.33671201814059,tʃ
s02,044-xhaja,dZ,0.635963718820862,0.539954648526077,dʒ
s02,049-data,d,0.641950113378685,0.54233560090703,d
s02,052-tapa,t,0.700226757369615,0.711179138321995,t
s02,058-cica,ts,0.639024943310658,0.705328798185941,ts
s02,061-kati,k,0.608253968253968,0.65233560090703,k
s02,064-gjaku,J,0.773061224489796,0.622947845804989,d̻ʒ̻
s02,065-qava,c,0.642879818594104,0.723151927437642,t̻ʃ̻
s02,072-gati,g,0.644897959183673,0.519138321995465,ɡ
s02,075-pata,p,0.703968253968254,0.715668934240363,p
s02,076-xixa,dz,0.64718820861678,0.520975056689342,dz
s02,080-bari,b,0.799501133786848,0.656802721088435,b
s02,083-5aji,tS,1.55136054421769,1.62927437641723,tʃ
s02,085-xhaja,dZ,0.653469387755102,0.569546485260771,dʒ
s02,090-data,d,0.614761904761905,0.504399092970522,d
s02,093-tapa,t,0.827868480725624,0.838390022675737,t
s02,099-cica,ts,0.625079365079365,0.708662131519274,ts
s02,102-kati,k,0.734081632653061,0.782517006802721,k
s02,105-gjaku,J,0.773696145124717,0.677755102040816,d̻ʒ̻
s02,106-qava,c,0.606303854875284,0.739342403628118,t̻ʃ̻
s02,113-gati,g,0.69891156462585,0.591179138321995,ɡ
s02,116-pata,p,0.896462585034014,0.908548752834467,p
s02,117-xixa,dz,0.682086167800454,0.575759637188209,dz
s02,121-bari,b,0.773106575963719,0.600952380952381,b
s04,001-data,d,0.812789115646259,0.689591836734694,d
s04,002-gjaku,J,0.721315192743764,0.662086167800454,d̻ʒ̻
s04,005-xhaja,dZ,0.681995464852608,0.593242630385488,dʒ
s04,010-tapa,t,0.560136054421769,0.570022675736961,t
s04,011-xixa,dz,0.601950113378685,0.556326530612245,dz
s04,014-cica,ts,0.641541950113379,0.738344671201814,ts
s04,018-pata,p,0.502471655328798,0.509546485260771,p
s04,020-5aji,tS,0.626485260770975,0.723922902494331,tʃ
s04,026-bari,b,0.612607709750567,0.514784580498866,b
s04,030-gati,g,0.645396825396825,0.570884353741497,ɡ
s04,036-kati,k,0.604829931972789,0.640657596371882,k
s04,038-qava,c,0.51750566893424,0.636258503401361,t̻ʃ̻
s04,043-data,d,7.94997732426304,7.80877551020408,d
s04,044-gjaku,J,0.418004535147392,0.342267573696145,d̻ʒ̻
s04,047-xhaja,dZ,0.498412698412698,0.426349206349206,dʒ
s04,053-tapa,t,0.516258503401361,0.525079365079365,t
s04,054-xixa,dz,0.546530612244898,0.435895691609977,dz
s04,057-cica,ts,0.472018140589569,0.57514739229025,ts
s04,061-pata,p,0.592834467120181,0.609614512471655,p
s04,063-5aji,tS,0.53609977324263,0.623854875283447,tʃ
s04,069-bari,b,0.565850340136054,0.461383219954649,b
s04,073-gati,g,0.561020408163265,0.464829931972789,ɡ
s04,080-kati,k,0.503718820861678,0.564580498866213,k
s04,082-qava,c,0.516326530612245,0.664104308390023,t̻ʃ̻
s04,085-data,d,3.68226757369615,3.54609977324263,d
s04,086-gjaku,J,0.518253968253968,0.421950113378685,d̻ʒ̻
s04,089-xhaja,dZ,0.646485260770975,0.57827664399093,dʒ
s04,095-tapa,t,0.801360544217687,0.815124716553288,t
s04,096-xixa,dz,0.606848072562358,0.507664399092971,dz
s04,099-cica,ts,0.476780045351474,0.571927437641723,ts
s04,103-pata,p,0.721859410430839,0.750589569160998,p
s04,105-5aji,tS,0.71328798185941,0.807097505668934,tʃ
s04,110-bari,b,0.53578231292517,0.428140589569161,b
s04,114-gati,g,0.549750566893424,0.487551020408163,ɡ
s04,122-kati,k,0.600907029478458,0.652403628117914,k
s04,124-qava,c,0.563514739229025,0.670702947845805,t̻ʃ̻
s05,003-qava,c,0.211587301587302,0.357460317460318,t̻ʃ̻
s05,013-data,d,0.244467120181406,0.085827664399093,d
s05,014-xixa,dz,0.20671201814059,0.0786621315192744,dz
s05,016-kati,k,0.111700680272109,0.222721088435374,k
s05,018-pata,p,0.273265306122449,0.287437641723356,p
s05,020-xhaja,dZ,0.363401360544218,0.276439909297052,dʒ
s05,022-5aji,tS,0.350068027210884,0.464036281179138,tʃ
s05,024-gjaku,J,0.302018140589569,0.225419501133787,d̻ʒ̻
s05,030-tapa,t,0.206213151927438,0.231972789115646,t
s05,032-gati,g,0.253854875283447,0.12952380952381,ɡ
s05,036-bari,b,0.35671201814059,0.250816326530612,b
s05,039-cica,ts,0.229206349206349,0.328004535147392,ts
s05,044-qava,c,0.318095238095238,0.451814058956916,t̻ʃ̻
s05,054-data,d,0.467233560090703,0.339977324263039,d
s05,055-xixa,dz,0.425827664399093,0.334671201814059,dz
s05,057-kati,k,0.430612244897959,0.520385487528345,k
s05,059-pata,p,0.374331065759637,0.396326530612245,p
s05,061-xhaja,dZ,0.43827664399093,0.258208616780045,dʒ
s05,063-5aji,tS,0.453854875283447,0.594399092970522,tʃ
s05,065-gjaku,J,0.363401360544218,0.265396825396825,d̻ʒ̻
s05,071-tapa,t,0.396666666666667,0.418684807256236,t
s05,073-gati,g,0.531791383219955,0.405215419501134,ɡ
s05,078-bari,b,0.387709750566893,0.261700680272109,b
s05,081-cica,ts,0.355691609977324,0.447301587301587,ts
s05,086-qava,c,0.27891156462585,0.409183673469388,t̻ʃ̻
s05,096-data,d,0.418480725623583,0.303854875283447,d
s05,097-xixa,dz,0.366507936507937,0.266167800453515,dz
s05,099-kati,k,0.351292517006803,0.45718820861678,k
s05,101-pata,p,0.383945578231293,0.403968253968254,p
s05,103-xhaja,dZ,0.435963718820862,0.304126984126984,dʒ
