Subject,Procedure,Version,Contrast,Item,Condition,WordL,WordR,Words.ACC,Words.RT
14,TrialProc,A1,F,3,Related,BRIDE,GROOM,1,2908
14,TrialProc,B1,PB,19,Control,MAD,PAPER,1,11512
14,TrialProc,A1,F,9,Related,FAST,QUICK,1,2600
14,TrialProc,B1,F,73,Related,HOLIDAY,VACATION,1,3570
14,TrialProc,A1,LR,2,Unrelated,LATE,HEART,1,2515
14,TrialProc,B2,F,113,Related,SMOOTH,ROUGH,1,7777
14,TrialProc,A2,F,58,Related,WASH,CLEAN,1,1823
14,TrialProc,A2,PB,14,Unrelated,BIRD,PEAK,0,8555
14,TrialProc,A2,F,43,Related,ODOUR,SMELL,1,5046
14,TrialProc,B1,F,74,Unrelated,HOUR,TOY,1,1746
14,TrialProc,A1,PB,5,Unrelated,PIG,SMALL,1,2964
14,TrialProc,A1,F,22,Related,PLANE,PILOT,1,5555
14,TrialProc,B2,F,94,Unrelated,DOLL,TEST,1,2961
