Subject,Procedure,Version,Contrast,Item,Condition,WordL,WordR,Words.ACC,Words.RT
14,TrialProc,B2,F,102,Unrelated,WISH,CENTRE,1,3602
14,TrialProc,B1,H,9,Unrelated,TAIL,LEGEND,1,15386
14,TrialProc,A1,F,30,Related,WET,DRY,1,5813
14,TrialProc,A1,F,19,Related,OLD,YOUNG,1,3957
14,TrialProc,B2,PB,2,Control,PETROL,DUMP,1,13903
14,TrialProc,A2,F,52,Related,HEALTHY,ILL,1,1901
14,TrialProc,A2,F,58,Related,SOAP,CLEAN,1,3323
14,TrialProc,B2,H,5,Unrelated,DAUGHTER,SUN,1,6231
14,TrialProc,B2,F,112,Related,SMOKE,CIGARETTE,1,3345
14,TrialProc,A1,F,22,Related,PLANE,FLIGHT,1,13904
14,TrialProc,B2,PB,16,Control,HAMSTER,JET,1,6254
14,TrialProc,B2,F,105,Unrelated,OPEN,ARMY,1,3405
14,TrialProc,A2,F,37,Related,BRONZE,SILVER,1,2863
14,TrialProc,A2,H,8,Control,CHEAP,SOIL,1,5966
14,TrialProc,B1,F,85,Related,RUG,CARPET,1,5341
14,TrialProc,A2,F,48,Related,PILLOW,BLANKET,1,5159
14,TrialProc,A1,PB,12,Control,SOUND,TIED,1,14017
14,TrialProc,A1,F,29,Related,WANT,DESIRE,1,1512
14,TrialProc,B1,F,63,Unrelated,BLUE,ESTATE,1,2934
14,TrialProc,A1,H,2,Unrelated,CELL,SHOP,1,2358
14,TrialProc,B1,F,76,Unrelated,INJURE,ART,1,7902
14,TrialProc,A2,F,51,Related,SATURN,PLANET,1,6322
14,TrialProc,A2,LR,7,Unrelated,YELLOW,LED,1,1812
14,TrialProc,B1,F,65,Unrelated,CLOCK,SLIP,1,8306
14,TrialProc,B1,F,69,Related,CUP,SAUCER,1,8731
14,TrialProc,B1,H,10,Control,NIECE,WAR,1,8192
14,TrialProc,B2,F,92,Unrelated,PINE,GAME,1,7910
14,TrialProc,A2,F,45,Related,PERMIT,ALLOW,1,2071
14,TrialProc,A2,PB,17,Unrelated,SHOWER,PATH,1,3261
14,TrialProc,A2,F,53,Related,SLEET,SNOW,1,2526
14,TrialProc,A2,F,43,Related,NOSE,SMELL,1,2087
14,TrialProc,B1,PB,10,Unrelated,BAN,FRYING,1,14146
14,TrialProc,A2,F,60,Related,SPRING,SUMMER,1,2905
14,TrialProc,B2,F,99,Related,HUSBAND,WIFE,1,3364
14,TrialProc,A2,PB,7,Unrelated,SAND,PEACH,1,5416
14,TrialProc,B2,F,119,Related,WIND,BLOW,1,4712
14,TrialProc,A2,F,31,Related,BLIND,DEAF,0,24431
14,TrialProc,B1,PB,19,Unrelated,BAD,PAPER,1,3623
14,TrialProc,A1,F,7,Related,DRUG,ADDICT,1,3060
14,TrialProc,A1,F,12,Related,HAMMER,TOOL,1,9581
14,TrialProc,B2,LR,9,Control,MANY,POT,1,5351
14,TrialProc,A1,F,10,Related,FINGER,THUMB,1,3597
14,TrialProc,A1,F,14,Related,HELP,AID,1,3455
14,TrialProc,A1,PB,4,Control,HILL,WAITER,1,4657
14,TrialProc,B1,F,82,Unrelated,PHONE,SHEEP,1,3827
14,TrialProc,B2,F,113,Unrelated,NEXT,ROUGH,1,3018
14,TrialProc,A1,H,18,Control,FIGHT,PLACE,1,4068
14,TrialProc,B1,F,80,Related,OFFICE,DESK,1,1390
14,TrialProc,B1,F,70,Unrelated,FLOAT,SING,1,3270
