ppt_id,rt,logRT,idx,idx_c
yyrtz1jbp7adhp8,410,6.016157159698354,13,2
yyrtz1jbp7adhp8,2066,7.633369649679584,14,3
yyrtz1jbp7adhp8,375,5.926926025970411,15,4
yyrtz1jbp7adhp8,361,5.8888779583328805,16,5
yyrtz1jbp7adhp8,436,6.077642243349034,17,6
yyrtz1jbp7adhp8,564,6.335054251498059,18,7
yyrtz1jbp7adhp8,572,6.349138991379798,19,8
yyrtz1jbp7adhp8,1387,7.234898420314831,20,9
yyrtz1jbp7adhp8,4460,8.40290404501411,21,10
1qmt7vjj8zvcoyj,902,6.804614520062624,1,-10
1qmt7vjj8zvcoyj,1513,7.321849713788356,2,-9
1qmt7vjj8zvcoyj,536,6.284134161070802,3,-8
1qmt7vjj8zvcoyj,698,6.548219102762372,4,-7
1qmt7vjj8zvcoyj,1723,7.45182223652793,5,-6
1qmt7vjj8zvcoyj,1331,7.193685818395112,6,-5
1qmt7vjj8zvcoyj,698,6.548219102762372,7,-4
1qmt7vjj8zvcoyj,919,6.823286122355687,8,-3
1qmt7vjj8zvcoyj,5803,8.666130304190608,9,-2
1qmt7vjj8zvcoyj,2486,7.818430272070656,10,-1
1qmt7vjj8zvcoyj,1274,7.149916836132109,11,0
1qmt7vjj8zvcoyj,534,6.280395838960195,12,1
1qmt7vjj8zvcoyj,729,6.591673732008658,13,2
1qmt7vjj8zvcoyj,557,6.322565239927284,14,3
1qmt7vjj8zvcoyj,534,6.280395838960195,15,4
1qmt7vjj8zvcoyj,694,6.542471960506805,16,5
1qmt7vjj8zvcoyj,901,6.803505257608338,17,6
1qmt7vjj8zvcoyj,983,6.890609120147166,18,7
1qmt7vjj8zvcoyj,611,6.415096959171596,19,8
1qmt7vjj8zvcoyj,2451,7.804251383528112,20,9
1qmt7vjj8zvcoyj,3042,8.020270472819238,21,10
chfyw971u6kw7ek,1156,7.052721049232323,1,-10
chfyw971u6kw7ek,983,6.890609120147166,2,-9
chfyw971u6kw7ek,2313,7.746300662231439,3,-8
chfyw971u6kw7ek,1444,7.275172319452771,4,-7
chfyw971u6kw7ek,1531,7.333676395657684,5,-6
chfyw971u6kw7ek,2280,7.731930721948486,6,-5
chfyw971u6kw7ek,873,6.771935555839602,7,-4
chfyw971u6kw7ek,1642,7.403670290012373,8,-3
chfyw971u6kw7ek,1918,7.559038255443384,9,-2
chfyw971u6kw7ek,927,6.831953565565855,10,-1
chfyw971u6kw7ek,1499,7.312553498102598,11,0
chfyw971u6kw7ek,1794,7.492203042618741,12,1
chfyw971u6kw7ek,1052,6.9584483932976555,13,2
chfyw971u6kw7ek,1087,6.99117688712121,14,3
chfyw971u6kw7ek,1771,7.479299637782834,15,4
chfyw971u6kw7ek,2198,7.6953031349635665,16,5
chfyw971u6kw7ek,3056,8.024862150286411,17,6
chfyw971u6kw7ek,1046,6.952728644624869,18,7
